City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yaan,8.5667,7.3833,23.14,46,0,2.04,NG,1670118877
83,narsaq,-46.05,60.9167,-11.11,75,2,3.96,GL,1670118877
84,aklavik,-135.0107,68.2191,-10.37,78,83,11.29,CA,1670118878
85,takoradi,-1.7554,4.8845,25.17,87,85,2.42,GH,1670118878
86,norman+wells,-126.8329,65.282,-0.98,51,100,10.8,CA,1670118879
87,novyy+urgal,132.5642,51.0736,-25.07,84,71,0.89,RU,1670118879
88,pudozh,36.5345,61.8099,-6.21,74,100,3.74,RU,1670118880
89,nouadhibou,-17.0347,20.931,17.99,88,0,4.12,MR,1670118880
90,chokurdakh,147.9167,70.6333,-29.62,97,63,5.04,RU,1670118881
91,belyy+yar,91.3903,53.6039,-26.06,80,75,0.0,RU,1670118660
92,pevek,170.3133,69.7008,-12.44,77,100,1.94,RU,1670118882
93,shenjiamen,122.298,29.9576,13.94,82,100,10.03,CN,1670118882
94,fallon,-118.7774,39.4735,3.84,55,75,3.09,US,1670118759
95,mudgee,149.5871,-32.5943,26.69,27,4,1.29,AU,1670118883
96,saint-philippe,55.7679,-21.3585,23.77,85,92,4.11,RE,1670118884
97,burnie,145.9167,-41.0667,21.64,64,99,2.79,AU,1670118884
98,pelham,-86.81,33.2857,17.85,96,75,1.54,US,1670118885
99,hilo,-155.09,19.7297,26.82,85,100,4.63,US,1670118741
100,smithers,-127.1743,54.7804,-15.82,72,0,1.54,CA,1670118885
101,baracoa,-74.4958,20.3467,24.42,81,37,6.85,CU,1670118886
102,bouar,15.596,5.934,19.36,51,96,1.52,CF,1670118886
103,nabire,135.4833,-3.3667,29.64,66,100,1.9,ID,1670118887
104,venezuela,-66.0,8.0,26.38,68,100,6.23,VE,1670118887
105,jamestown,-79.2353,42.097,2.77,57,100,5.66,US,1670118742
106,fortuna,-124.1573,40.5982,10.52,78,100,1.54,US,1670118888
107,chihuahua,-106.0,28.5,20.11,45,59,2.27,MX,1670118676
108,itaituba,-55.9836,-4.2761,23.07,98,99,0.51,BR,1670118889
109,barrow,-156.7887,71.2906,-11.74,85,95,4.54,US,1670118889
110,poum,164.0167,-20.2333,26.81,81,100,4.88,NC,1670118890
111,katsuura,140.3,35.1333,16.01,56,100,8.94,JP,1670118890
112,fuerte+olimpo,-57.8738,-21.0415,22.99,91,99,2.08,PY,1670118891
113,mahebourg,57.7,-20.4081,23.16,83,40,0.0,MU,1670118891
114,muros,-9.0603,42.7762,6.02,85,3,4.78,ES,1670118892
115,warrington,-2.5802,53.3925,4.62,91,54,0.45,GB,1670118866
116,kapaa,-159.319,22.0752,26.99,68,8,1.79,US,1670118893
117,longyearbyen,15.6401,78.2186,-2.09,80,100,6.69,SJ,1670118893
118,verkhoyansk,133.385,67.5447,-23.44,99,100,1.9,RU,1670118707
119,okhotsk,143.3,59.3833,-26.93,91,100,4.98,RU,1670118894
120,suntar,117.6319,62.1444,-13.39,92,100,4.56,RU,1670118613
121,chirongui,45.1483,-12.9319,26.96,75,6,4.24,YT,1670118894
122,barra+do+garcas,-52.2567,-15.89,22.57,93,100,2.35,BR,1670118895
123,severo-kurilsk,156.125,50.6789,1.55,89,96,7.83,RU,1670118895
124,kobryn,24.3564,52.2138,-2.73,95,98,5.2,BY,1670118896
125,bathsheba,-59.5167,13.2167,26.34,89,40,5.14,BB,1670118896
126,luderitz,15.1594,-26.6481,14.79,73,4,6.89,NA,1670118897
127,sioux+lookout,-91.917,50.1001,-16.96,85,75,5.66,CA,1670118897
128,champerico,-91.9167,14.3,26.74,75,9,1.25,GT,1670118898
129,evensk,159.2333,61.95,-20.98,79,7,4.06,RU,1670118898
130,hofn,-15.2082,64.2539,2.73,56,0,2.29,IS,1670118899
131,tilichiki,166.1,60.4667,-15.88,79,20,3.06,RU,1670118900
132,pangody,74.4859,65.85,-23.09,99,36,1.96,RU,1670118900
133,teluknaga,106.6381,-6.0989,29.02,79,20,1.54,ID,1670118900
134,taltal,-70.4833,-25.4,18.61,74,10,1.42,CL,1670118620
135,kodinsk,99.1844,58.6881,-21.06,98,95,1.9,RU,1670118901
136,kyra,111.9753,49.5776,-16.92,71,100,3.1,RU,1670118902
137,kaeo,173.7833,-35.1,21.11,55,4,3.27,NZ,1670118903
138,edd,41.6925,13.9297,26.29,49,3,5.57,ER,1670118903
139,carnarvon,113.6333,-24.8667,23.96,64,14,5.46,AU,1670118904
140,camacha,-16.3333,33.0833,13.68,77,40,1.03,PT,1670118904
141,grand+gaube,57.6608,-20.0064,23.22,77,15,2.24,MU,1670118905
142,tsaratanana,47.65,-16.7833,23.21,84,64,1.74,MG,1670118905
143,auki,160.7034,-8.7676,29.08,70,93,1.38,SB,1670118906
144,iqaluit,-68.5145,63.7506,-9.15,66,75,6.17,CA,1670118906
145,kozhva,57.0459,65.1073,-19.1,100,99,1.37,RU,1670118907
146,tiksi,128.8694,71.6872,-23.13,94,100,8.24,RU,1670118897
147,laguna,-121.4238,38.421,11.76,94,100,3.09,US,1670118680
148,san+vicente,-54.1333,-26.6167,19.36,96,72,0.63,AR,1670118908
149,porosozero,32.727,62.7191,-7.18,90,100,3.66,RU,1670118909
150,port-gentil,8.7815,-0.7193,25.31,85,100,2.21,GA,1670118910
151,saskylakh,114.0833,71.9167,-11.99,93,100,10.69,RU,1670118910
152,yellowknife,-114.3525,62.456,-9.71,92,100,3.6,CA,1670118911
153,chuy,-53.4616,-33.6971,18.42,96,93,1.44,UY,1670118911
154,kodiak,-152.4072,57.79,0.6,71,78,2.64,US,1670118912
155,mount+isa,139.5,-20.7333,32.87,18,0,3.6,AU,1670118823
156,abu+samrah,37.1841,35.3029,12.28,71,100,0.98,SY,1670118912
157,tiznit,-9.5,29.5833,12.7,74,37,1.25,MA,1670118913
158,talladega,-86.1058,33.4359,16.41,100,100,0.0,US,1670118914
159,vardo,31.1107,70.3705,-2.01,86,100,2.06,NO,1670118914
160,mitsamiouli,43.2844,-11.3847,26.16,80,3,5.03,KM,1670118915
161,port+blair,92.75,11.6667,28.02,83,40,2.06,IN,1670118915
162,clearwater,-82.8001,27.9659,21.95,80,0,3.58,US,1670118633
163,road+town,-64.6167,18.4167,25.02,78,40,2.57,VG,1670118869
164,esperance,121.9,-33.8667,19.18,70,100,7.96,AU,1670118917
165,ixtapa,-105.2,20.7,25.68,79,78,0.84,MX,1670118917
